N,CPU_Time_ms,GPU_Time_ms,NumTriangleCPU,NumTriangleGPU
8,0.007952000000000,0.219792000000000,0,0
8,0.007994000000000,0.189114000000000,6,6
8,0.008115000000000,0.222865000000000,13,13
8,0.007879000000000,0.206615000000000,8,8
8,0.009089000000000,0.184949000000000,2,2
16,0.053237000000000,0.189219000000000,57,57
16,0.052969000000000,1.096303000000000,44,44
16,0.053048000000000,0.101717000000000,73,73
16,0.053047000000000,1.531457000000000,64,64
16,0.053110000000000,0.103698000000000,146,146
32,0.490926000000000,1.272187000000000,644,644
32,0.488593000000000,0.135833000000000,677,677
32,0.714413000000000,0.186979000000000,555,555
32,1.458065000000000,0.131927000000000,487,487
32,0.828148000000000,0.180834000000000,379,379
64,4.118990000000000,0.117657000000000,5675,5675
64,3.674839000000000,0.138749000000000,4575,4575
64,7.267220000000000,0.770521000000000,4978,4978
64,7.190112000000000,0.655156000000000,5678,5678
64,10.525043000000000,0.349635000000000,5451,5451
128,58.175279000000003,0.114687000000000,42996,42996
128,62.772879000000003,0.110574000000000,41781,41781
128,50.349102000000002,2.180834000000000,44127,44127
128,51.166834000000001,0.120573000000000,42862,42862
128,42.834550999999998,0.159532000000000,43506,43506
256,352.056011000000012,0.116978000000000,352365,352365
256,350.065278999999975,0.110886000000000,345698,345698
256,315.530232000000012,0.121250000000000,345313,345313
256,301.585090999999977,0.132032000000000,335719,335719
256,345.179585999999972,0.106458000000000,345256,345256
512,2970.017529000000195,0.185937000000000,2771546,2771546
512,2790.806422999999995,0.122500000000000,2781366,2781366
512,2629.857049000000188,0.098593000000000,2781600,2781600
512,3017.073551999999836,0.170052000000000,2755762,2755762
512,2596.286466000000019,0.120730000000000,2775297,2775297
