N,CPU_Time_ms,GPU_Time_ms
8,0.008132000000000,0.272396000000000
8,0.007895000000000,0.129584000000000
8,0.008068000000000,0.325001000000000
8,0.008066000000000,0.120469000000000
8,0.008790000000000,0.327135000000000
16,0.053322000000000,0.187083000000000
16,0.060840000000000,0.216980000000000
16,0.053498000000000,0.187187000000000
16,0.053234000000000,0.213489000000000
16,0.053269000000000,0.185782000000000
32,0.743059000000000,0.186511000000000
32,0.409163000000000,0.198906000000000
32,0.450690000000000,0.333438000000000
32,0.411148000000000,0.189011000000000
32,1.170657000000000,0.192553000000000
64,5.580177000000000,0.279374000000000
64,4.950169000000000,1.538386000000000
64,7.773765000000000,0.822082000000000
64,8.214155999999999,0.114895000000000
64,4.110218000000000,0.236667000000000
128,60.682564999999997,0.125314000000000
128,56.106630000000003,0.120885000000000
128,60.762047000000003,0.755572000000000
128,71.949612999999999,1.007813000000000
128,42.244917000000001,0.259999000000000
256,348.840102999999999,3.970626000000000
256,322.735036999999977,0.147395000000000
256,316.554927000000021,2.020937000000000
256,375.991564999999980,0.131510000000000
256,296.744915999999989,0.110782000000000
512,2496.999509000000216,0.117605000000000
512,2641.369951000000128,0.132501000000000
512,2592.460505000000012,0.184219000000000
512,2856.391235999999935,0.222917000000000
512,2478.366203000000041,0.864634000000000
